ticker,as_of_date,entry_score,entry_signal,technical_score,valuation_score,risk_score,outcome_1m,outcome_3m,outcome_6m,outcome_12m,excess_1m,excess_3m,excess_6m,simulation_source,fundamentals_used,finra_observations_used
SPY,2025-04-08,31.1,Wait,0.0,50.0,82.0,13.81,26.42,36.35,38.42,0.0,0.0,0.0,suggested,False,175
ZS,2025-04-08,32.0,Wait,10.0,50.0,62.0,31.69,67.3,77.3,-33.32,17.880000000000003,40.879999999999995,40.949999999999996,suggested,False,169
AAPL,2025-03-05,58.6,Watch,50.0,50.0,92.0,-13.81,-13.85,1.96,9.69,-6.140000000000001,-16.36,-10.030000000000001,suggested,False,173
AMD,2025-03-05,22.7,Wait,0.0,50.0,40.0,-7.74,16.63,59.13,89.27,-0.07000000000000028,14.12,47.14,suggested,False,173
ASML,2025-03-05,54.5,Wait,60.0,50.0,48.0,-15.75,0.72,2.42,76.29,-8.08,-1.7899999999999998,-9.57,suggested,False,173
BTC-USD,2025-03-05,48.2,Wait,40.0,50.0,66.0,-4.11,7.07,22.85,12.18,3.5599999999999996,4.5600000000000005,10.860000000000001,suggested,False,0
CRM,2025-03-05,44.3,Wait,30.0,50.0,70.0,-12.58,-9.72,-16.16,-30.33,-4.91,-12.23,-28.15,suggested,False,173
GLNG,2025-03-05,49.0,Wait,40.0,50.0,72.0,-4.7,17.03,25.2,35.3,2.9699999999999998,14.520000000000001,13.209999999999999,suggested,False,173
GOOG,2025-03-05,45.2,Wait,30.0,50.0,75.0,-12.68,-3.09,33.27,71.13,-5.01,-5.6,21.28,suggested,False,173
IBM,2025-03-05,79.3,Buy candidate,90.0,50.0,95.0,-3.13,6.34,-0.34,5.54,4.54,3.83,-12.33,suggested,False,173
IONQ,2025-03-05,40.4,Wait,40.0,50.0,25.0,2.74,75.17,86.08,57.89,10.41,72.66,74.09,suggested,False,82
MSFT,2025-03-05,32.3,Wait,0.0,50.0,87.0,-6.96,15.88,27.11,2.76,0.71,13.370000000000001,15.12,suggested,False,173
MU,2025-03-05,28.6,Wait,10.0,50.0,42.0,-21.1,9.59,31.96,293.8,-13.430000000000001,7.08,19.97,suggested,False,173
NFLX,2025-03-05,81.8,Buy candidate,100.0,50.0,84.0,-7.45,25.1,26.9,-0.07,0.21999999999999975,22.590000000000003,14.909999999999998,suggested,False,173
NVDA,2025-03-05,37.0,Wait,20.0,50.0,59.0,-13.21,21.0,46.37,51.64,-5.540000000000001,18.490000000000002,34.379999999999995,suggested,False,173
PLTR,2025-03-05,73.3,Buy candidate,100.0,50.0,38.0,-7.25,44.25,73.24,74.37,0.41999999999999993,41.74,61.24999999999999,suggested,False,106
QBTS,2025-03-05,54.6,Wait,70.0,50.0,25.0,27.86,218.21,173.04,231.96,35.53,215.70000000000002,161.04999999999998,suggested,False,62
RGTI,2025-03-05,54.7,Wait,70.0,50.0,25.0,-0.37,44.5,84.84,107.95,7.3,41.99,72.85000000000001,suggested,False,72
SHOP,2025-03-05,57.6,Watch,60.0,50.0,63.0,-22.48,-2.42,36.74,22.66,-14.81,-4.93,24.75,suggested,False,173
SNOW,2025-03-05,69.8,Watch,80.0,50.0,72.0,-21.1,18.21,25.15,1.79,-13.430000000000001,15.700000000000001,13.159999999999998,suggested,False,107
SPY,2025-03-05,54.3,Wait,40.0,50.0,96.0,-7.67,2.51,11.99,16.67,0.0,0.0,0.0,suggested,False,173
ZS,2025-03-05,50.7,Wait,40.0,50.0,80.0,-2.16,51.11,36.55,-16.49,5.51,48.6,24.559999999999995,suggested,False,167
AAPL,2025-01-15,68.9,Watch,70.0,50.0,92.0,2.94,-18.24,-11.01,7.91,0.08999999999999986,-7.179999999999998,-17.509999999999998,suggested,False,170
AMD,2025-01-15,22.7,Wait,0.0,50.0,40.0,-5.72,-26.4,30.87,93.26,-8.57,-15.339999999999998,24.37,suggested,False,170
ASML,2025-01-15,44.1,Wait,40.0,50.0,47.0,3.7,-12.4,1.67,88.84,0.8500000000000001,-1.3399999999999999,-4.83,suggested,False,170
BTC-USD,2025-01-15,80.0,Buy candidate,100.0,50.0,75.0,-3.87,-13.58,9.13,12.76,-6.720000000000001,-2.5199999999999996,2.630000000000001,suggested,False,0
CRM,2025-01-15,65.9,Watch,70.0,50.0,78.0,1.68,-22.08,-18.04,-28.82,-1.1700000000000002,-11.019999999999998,-24.54,suggested,False,170
GLNG,2025-01-15,77.6,Buy candidate,90.0,50.0,87.0,-3.49,-10.79,-1.43,-3.6,-6.34,0.27000000000000135,-7.93,suggested,False,170
GOOG,2025-01-15,82.8,Buy candidate,100.0,50.0,90.0,-5.13,-20.97,-5.38,68.36,-7.98,-9.909999999999998,-11.879999999999999,suggested,False,170
IBM,2025-01-15,63.8,Watch,60.0,50.0,93.0,19.54,9.15,31.66,42.51,16.689999999999998,20.21,25.16,suggested,False,170
IONQ,2025-01-15,74.0,Buy candidate,100.0,50.0,43.0,-4.9,-37.62,18.08,28.97,-7.75,-26.559999999999995,11.579999999999998,suggested,False,79
MSFT,2025-01-15,63.7,Watch,60.0,50.0,92.0,-4.19,-12.66,20.1,8.67,-7.040000000000001,-1.5999999999999996,13.600000000000001,suggested,False,170
MU,2025-01-15,54.3,Wait,60.0,50.0,48.0,-3.56,-32.73,11.1,252.69,-6.41,-21.669999999999995,4.6,suggested,False,170
NFLX,2025-01-15,66.4,Watch,70.0,50.0,81.0,24.8,13.37,42.56,3.74,21.95,24.43,36.06,suggested,False,170
NVDA,2025-01-15,59.6,Watch,60.0,50.0,72.0,1.92,-23.3,26.57,36.73,-0.9300000000000002,-12.24,20.07,suggested,False,170
PLTR,2025-01-15,70.2,Buy candidate,90.0,50.0,48.0,74.88,36.06,125.3,150.9,72.03,47.120000000000005,118.8,suggested,False,103
QBTS,2025-01-15,69.6,Watch,100.0,50.0,25.0,10.02,11.23,226.25,397.93,7.17,22.29,219.75,suggested,False,59
RGTI,2025-01-15,69.7,Watch,100.0,50.0,25.0,7.95,-24.59,56.86,134.19,5.1,-13.53,50.36,suggested,False,69
SHOP,2025-01-15,63.9,Watch,70.0,50.0,68.0,23.13,-19.46,21.9,49.47,20.279999999999998,-8.4,15.399999999999999,suggested,False,170
SNOW,2025-01-15,65.3,Watch,80.0,50.0,51.0,13.21,-11.85,30.89,26.96,10.360000000000001,-0.7899999999999991,24.39,suggested,False,104
SPY,2025-01-15,69.8,Watch,70.0,50.0,98.0,2.85,-11.06,6.5,18.05,0.0,0.0,0.0,suggested,False,170
ZS,2025-01-15,46.1,Wait,40.0,50.0,55.0,11.95,6.78,51.97,12.63,9.1,17.84,45.47,suggested,False,164
AAPL,2026-01-15,52.6,Wait,50.0,38.0,81.0,2.29,4.75,,,3.6500000000000004,1.88,,manual,True,194
AMD,2026-01-15,70.4,Buy candidate,90.0,50.0,52.0,-10.9,22.14,,,-9.540000000000001,19.27,,manual,True,194
ASML,2026-01-15,81.2,Buy candidate,100.0,50.0,80.0,6.76,9.77,,,8.12,6.8999999999999995,,manual,False,194
BTC-USD,2026-01-15,43.4,Wait,30.0,50.0,67.0,-34.38,-26.83,-18.85,,-33.02,-29.7,,manual,False,0
CRM,2026-01-15,26.0,Wait,0.0,50.0,56.0,-21.09,-21.81,,,-19.73,-24.68,,manual,False,194
GLNG,2026-01-15,70.2,Buy candidate,80.0,50.0,78.0,11.74,31.84,,,13.1,28.97,,manual,False,194
GOOG,2026-01-15,82.7,Buy candidate,100.0,50.0,90.0,-9.11,1.94,,,-7.749999999999999,-0.9300000000000002,,manual,False,194
IBM,2026-01-15,66.6,Watch,70.0,50.0,85.0,-12.81,-14.44,,,-11.450000000000001,-17.31,,manual,False,194
IONQ,2026-01-15,44.7,Wait,50.0,50.0,25.0,-30.24,-3.09,,,-28.88,-5.96,,manual,False,103
MSFT,2026-01-15,37.0,Wait,10.0,50.0,85.0,-13.1,-7.21,,,-11.74,-10.08,,manual,False,194
MU,2026-01-15,77.9,Buy candidate,100.0,50.0,63.0,18.76,35.24,,,20.12,32.370000000000005,,manual,False,194
NFLX,2026-01-15,30.9,Wait,10.0,50.0,56.0,-12.55,10.52,,,-11.190000000000001,7.6499999999999995,,manual,False,194
NVDA,2026-01-15,78.9,Buy candidate,100.0,50.0,71.0,-1.11,7.83,,,0.25,4.96,,manual,False,194
PLTR,2026-01-15,45.3,Wait,40.0,50.0,51.0,-24.88,-17.33,,,-23.52,-20.2,,manual,False,127
QBTS,2026-01-15,66.0,Watch,90.0,50.0,30.0,-35.79,-24.48,,,-34.43,-27.35,,manual,False,83
RGTI,2026-01-15,45.0,Wait,50.0,50.0,25.0,-36.88,-19.8,,,-35.52,-22.67,,manual,False,93
SHOP,2026-01-15,64.2,Watch,70.0,50.0,69.0,-28.13,-16.99,,,-26.77,-19.86,,manual,False,194
SNOW,2026-01-15,30.9,Wait,10.0,50.0,55.0,-14.75,-30.69,,,-13.39,-33.56,,manual,False,128
SPY,2026-01-15,84.9,Buy candidate,100.0,50.0,100.0,-1.36,2.87,,,0.0,0.0,,manual,False,194
ZS,2026-01-15,28.2,Wait,10.0,50.0,43.0,-18.04,-36.04,,,-16.68,-38.91,,manual,False,188
